dataset,policy,view_role,view,task,model,split_type,n_train,n_val,n_test,n_features,seed,status,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,roc_auc,pr_auc,training_time_seconds,inference_time_per_sample_seconds,feature_family
MQTT-IoT-IDS2020,audited_metadata_main,strict,strict_audited_metadata_main,binary,Logistic Regression,random_stratified,181565.0,38907.0,38907.0,5,42,ok,0.9380317166576708,0.9077119471254516,0.9572794974895913,0.9268701132608644,0.9397992153008363,0.9861436752304177,0.9407027470572809,0.8158543000026839,1.6144138576632483e-07,tcp_flags_only
MQTT-IoT-IDS2020,audited_metadata_main,strict,strict_audited_metadata_main,binary,Random Forest,random_stratified,181565.0,38907.0,38907.0,5,42,ok,0.9380831212892281,0.9077647599356766,0.9573733942032063,0.926934239842734,0.9398503048268386,0.9863314686576479,0.9408481981559316,1.8044821999937994,1.4587400724629414e-06,tcp_flags_only
MQTT-IoT-IDS2020,audited_metadata_main,strict,strict_audited_metadata_main,binary,Extra Trees,random_stratified,181565.0,38907.0,38907.0,5,42,ok,0.9380831212892281,0.9077647599356766,0.9573733942032063,0.926934239842734,0.9398503048268386,0.9863314686576479,0.9408481981559316,0.4814713999949163,1.3849281621184412e-06,tcp_flags_only
MQTT-IoT-IDS2020,audited_metadata_main,strict,strict_audited_metadata_main,binary,HistGradientBoostingClassifier,random_stratified,181565.0,38907.0,38907.0,5,42,ok,0.9380831212892281,0.9077647599356766,0.9573733942032063,0.926934239842734,0.9398503048268386,0.9863314686576479,0.9408481981559316,1.0109952999919187,9.585987096535337e-07,tcp_flags_only
MQTT-IoT-IDS2020,audited_metadata_main,strict,strict_audited_metadata_main,binary,Isolation Forest,random_stratified,181565.0,38907.0,38907.0,5,42,ok,0.8286426607037294,0.7924237515722296,0.7574672909168213,0.771503970090035,0.8232124880606002,0.7574552834222307,0.5452895221356596,0.2989358000049833,1.3781273292677907e-05,tcp_flags_only
MQTT-IoT-IDS2020,audited_metadata_main,strict,strict_audited_metadata_main,binary,Logistic Regression,random_stratified,181565.0,38907.0,38907.0,42,42,ok,0.995502094738736,0.9940730017684862,0.9946216393096163,0.9943468702807687,0.9955033427069361,0.9995986436366011,0.9993779739426855,4.499945400006254,1.3993240292160477e-06,all_metadata
MQTT-IoT-IDS2020,audited_metadata_main,strict,strict_audited_metadata_main,binary,Random Forest,random_stratified,181565.0,38907.0,38907.0,42,42,ok,0.9992803351581978,0.9991533324240045,0.9990364895249688,0.999094890854636,0.9992802930380902,0.9998097259875446,0.999722290163278,3.200705700000981,2.260554655900212e-06,all_metadata
MQTT-IoT-IDS2020,audited_metadata_main,strict,strict_audited_metadata_main,binary,Extra Trees,random_stratified,181565.0,38907.0,38907.0,42,42,ok,0.9992032282108618,0.9990417593185844,0.9989541517071427,0.9989979441978003,0.999203193239139,0.9997274380140299,0.9994665965835788,1.528657500006375,2.2772663017041138e-06,all_metadata
MQTT-IoT-IDS2020,audited_metadata_main,strict,strict_audited_metadata_main,binary,HistGradientBoostingClassifier,random_stratified,181565.0,38907.0,38907.0,42,42,ok,0.9991261212635258,0.9988428575900221,0.9989595747682115,0.9989011960770071,0.9991261723741742,0.9999959991632801,0.999989450156995,5.550690599993686,2.0209602385125114e-06,all_metadata
MQTT-IoT-IDS2020,audited_metadata_main,strict,strict_audited_metadata_main,binary,Isolation Forest,random_stratified,181565.0,38907.0,38907.0,42,42,ok,0.9046958130927597,0.8708733806936899,0.934387939271685,0.8907540769773805,0.9084152143098131,0.961927843381199,0.8495094240253964,1.2370188000058988,7.90627187909003e-05,all_metadata
MQTT-IoT-IDS2020,audited_metadata_main,strict,strict_audited_metadata_main,binary,Logistic Regression,random_stratified,181565.0,38907.0,38907.0,27,42,ok,0.9917238543192741,0.9884321144270775,0.9908211152465275,0.9896179140331187,0.991733949564611,0.9996878416931381,0.999253994824743,2.4476589000114473,5.598606934477616e-07,all_without_byte_stats
