dataset,task,view,model,split_type,status,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,roc_auc,pr_auc,training_time_seconds,inference_time_per_sample_seconds,n_train,n_val,n_test,n_features,seed,random_stratified_macro_f1,macro_f1_delta_vs_random
MQTT-IoT-IDS2020,binary,broker_side_safe,Random Forest,random_stratified,ok,0.9739892564320045,0.9586563883884125,0.9787580193266332,0.9680079937512783,0.9742680004099924,0.9975035194237467,0.9930873964111884,4.1815694000106305,1.2869416814352781e-05,181565,38907,38907,11,42,0.9680079937512783,0.0
MQTT-IoT-IDS2020,binary,broker_side_safe,Extra Trees,random_stratified,ok,0.9739378518004472,0.958500625982837,0.9788396443708078,0.9679535267019056,0.9742204637155273,0.9968401248699688,0.9917163301399952,1.745482300000731,1.3281854165205082e-05,181565,38907,38907,11,42,0.9679535267019056,0.0
MQTT-IoT-IDS2020,binary,broker_side_safe,HistGradientBoostingClassifier,random_stratified,ok,0.974246279589791,0.9589283771992261,0.9791397420158137,0.9683275833249567,0.9745235810141735,0.998035245244811,0.9946265443904108,12.161136599999736,1.8256432003023418e-06,181565,38907,38907,11,42,0.9683275833249567,0.0
MQTT-IoT-IDS2020,binary,broker_side_safe,Logistic Regression,time_block_split,failed: ValueError('split has fewer than two classes in train or test'),,,,,,,,,,181565,38906,38908,11,42,0.9227004110542854,
MQTT-IoT-IDS2020,binary,broker_side_safe,Random Forest,time_block_split,failed: ValueError('split has fewer than two classes in train or test'),,,,,,,,,,181565,38906,38908,11,42,0.9680079937512783,
MQTT-IoT-IDS2020,binary,broker_side_safe,Extra Trees,time_block_split,failed: ValueError('split has fewer than two classes in train or test'),,,,,,,,,,181565,38906,38908,11,42,0.9679535267019056,
MQTT-IoT-IDS2020,binary,broker_side_safe,HistGradientBoostingClassifier,time_block_split,failed: ValueError('split has fewer than two classes in train or test'),,,,,,,,,,181565,38906,38908,11,42,0.9683275833249567,
MQTT-IoT-IDS2020,multiclass,broker_side_safe,Logistic Regression,random_stratified,ok,0.32338653712699517,0.7886049613028028,0.8059671583063931,0.645012234341267,0.3187106500393532,,,16.89109799999278,4.6603181938110493e-07,181565,38907,38907,11,42,0.645012234341267,0.0
MQTT-IoT-IDS2020,multiclass,broker_side_safe,Random Forest,random_stratified,ok,0.9657131107512786,0.9245484651262647,0.986554600640341,0.9475848878423884,0.9691061041444236,,,2.568304900007206,2.2970519443189432e-06,181565,38907,38907,11,42,0.9475848878423884,0.0
MQTT-IoT-IDS2020,multiclass,broker_side_safe,Extra Trees,random_stratified,ok,0.9650191482252551,0.9235569850887287,0.986532659823262,0.9467867593011345,0.9685457066217007,,,0.9675779999961378,2.714143984470158e-06,181565,38907,38907,11,42,0.9467867593011345,0.0
MQTT-IoT-IDS2020,multiclass,broker_side_safe,HistGradientBoostingClassifier,random_stratified,ok,0.9645308042254607,0.922836744114564,0.986990247824866,0.9463243780413715,0.9681755713266897,,,7.042635000005248,4.2280437968170125e-06,181565,38907,38907,11,42,0.9463243780413715,0.0
MQTT-IoT-IDS2020,multiclass,broker_side_safe,Logistic Regression,time_block_split,failed: ValueError('split has fewer than two classes in train or test'),,,,,,,,,,181565,38906,38908,11,42,0.645012234341267,
MQTT-IoT-IDS2020,multiclass,broker_side_safe,Random Forest,time_block_split,failed: ValueError('split has fewer than two classes in train or test'),,,,,,,,,,181565,38906,38908,11,42,0.9475848878423884,
MQTT-IoT-IDS2020,multiclass,broker_side_safe,Extra Trees,time_block_split,failed: ValueError('split has fewer than two classes in train or test'),,,,,,,,,,181565,38906,38908,11,42,0.9467867593011345,
MQTT-IoT-IDS2020,multiclass,broker_side_safe,HistGradientBoostingClassifier,time_block_split,failed: ValueError('split has fewer than two classes in train or test'),,,,,,,,,,181565,38906,38908,11,42,0.9463243780413715,
MQTT-IoT-IDS2020,binary,strict_encrypted_flow_safe,Logistic Regression,random_stratified,ok,0.9363096615005012,0.9485001653530956,0.8911509001633398,0.914729272390296,0.9341420303253792,0.9118102839115358,0.9015501665532817,0.7223789999989094,3.034209783184714e-07,181565,38907,38907,12,42,0.914729272390296,0.0
